,case_vignette,choice_1,choice_2,choice_3,choice_4,answer,category,dataset,case_id
2026,"A 25-year-old man presents to his primary care physician with lower back pain. He states that he has had the pain for the past two years. The patient works as a butcher, and recently was moving heavy meat carcasses. The patient states that his pain is worse in the morning and that nothing improves it aside from swimming. The patient has a past medical history of anabolic steroid abuse, acne, hypertension and obesity. His current medications are hydrochlorothiazide, ibuprofen, topical benzoyl peroxide, and acetaminophen. On physical exam there is no tenderness upon palpation of the spine. There is limited range of motion of the spine in all 4 directions. Which of the following is most likely to confirm the most likely diagnosis in this patient?",The straight leg test and the clinical presentation,Radiograph of the spine,MRI of the spine,MRI of the sacroiliac joint,MRI of the sacroiliac joint,Rheumatology,MedQA_USMLE,case_2026
2027,"A 66-year-old man presents to the clinic for evaluation of a new skin lesion on his hand. He is concerned because the lesion has grown rapidly over the previous 2 weeks. He endorses traumatizing the area and notes that there was some bleeding. His past medical history is significant for chronic renal failure for which he received a renal transplant 5 years prior, as well as multiple surgeries for skin cancers. His current medications include aspirin, atorvastatin, prednisone, tacrolimus, and mycophenolate mofetil. Physical exam is notable for a 2 x 2.5 cm nodular lesion of the dorsal hand (Figure A). Which of the following is the most likely diagnosis?",Keratoacanthoma,Verruca vulgaris,Basal cell carcinoma,Pyogenic granuloma,Keratoacanthoma,Dermatology,MedQA_USMLE,case_2027
2030,"An 80-year-old man comes to the clinic for a follow-up visit. He has a long history of diabetes mellitus and recently had his diabetic screening exams (including a hemoglobin A1c of 7.2%), a normal foot examination, and normal lipid levels. Although he failed metformin and sulfonylurea therapy, the patient's diabetes is now well-controlled with glargine and insulin lispro. The patient states that he still drives and can see highway billboards and signs without trouble. He rarely reads, opting to spend his retirement playing golf. During the patient's eye exam one month ago, the ophthalmologist's fundoscopic examination revealed scattered bright yellow drusen seen in Figure A. Visual examination today is 20/40 OD (right eye) and 20/40 OS (left eye). Two years ago, his visual acuity was 20/20 in both eyes. He states that he just has dry eyes and needs to blink several times in order to get a perfect visual exam score. He denies any floaters, diplopia, or blurred vision. What is the most likely diagnosis?",Macular edema,Proliferative diabetic retinopathy,Presbyopia,Diabetic cataracts,Presbyopia,Other,MedQA_USMLE,case_2030
2031,"A 5-year-old girl is brought to the clinic by her mother for excessive hair growth. Her mother reports that for the past 2 months she has noticed hair at the axillary and pubic areas. She denies any family history of precocious puberty and reports that her daughter has been relatively healthy with an uncomplicated birth history. She denies any recent illnesses, weight change, fever, vaginal bleeding, pain, or medication use. Physical examination demonstrates Tanner stage 4 development. A pelvic ultrasound shows an ovarian mass. Laboratory studies demonstrates an elevated level of estrogen. What is the most likely diagnosis?",Granulosa cell tumor,McCune-Albright syndrome,Idiopathic precocious puberty,Congenital adrenal hyperplasia,Granulosa cell tumor,Endocrinology,MedQA_USMLE,case_2031
2034,"A 75-year-old woman presents to the physician with a complaint of a frequent need to void at nighttime, which has been disrupting her sleep. She notes embarrassingly that she is often unable to reach the bathroom in time, and experiences urinary leakage throughout the night as well as during the day. The patient undergoes urodynamic testing and a urinalysis is obtained which is normal. She is instructed by the physician to perform behavioral training to improve her bladder control. Which of the following is the most likely diagnosis contributing to this patient’s symptoms?",Overflow incontinence,Stress incontinence,Urge incontinence,Urinary tract infection,Urge incontinence,Renal and Genitourinary System,MedQA_USMLE,case_2034
2035,"A 68-year-old man is brought to his primary care physician's office by his wife due to ""itchy"" blisters. She reports that they were gardening yesterday when her husband began complaining of generalized itching. He then woke up this morning with multiple pruritic blisters. His wife tried using calamine lotion with no significant improvement. The patient’s medical history is significant for early dementia, asthma, hypertension, and inflammatory bowel syndrome. His medications include aspirin and lisinopril. His temperature is 99°F (37.2°C), blood pressure is 121/82 mmHg, pulse is 86/min, respirations are 12/min, and oxygen saturation is 95% on room air. Physical examination shows areas of excoriation and tense bullae on his arms. A punch biopsy is obtained for immunofluorescence, which is shown in Figure A. Which of the following is associated with this patient’s most likely diagnosis?",T-cell mediated hypersensitivity,Tissue transglutaminase antibodies,Anti-hemidesmosome antibodies,Anti-desmosome antibodies,Anti-hemidesmosome antibodies,Dermatology,MedQA_USMLE,case_2035
2036,"A 22-year-old woman presents to her primary care doctor for a right breast mass that was found during self-exam. Her paternal aunt had been diagnosed with breast cancer 5 years ago, so she wishes to undergo further oncologic evaluation. She plays lacrosse in college but is not at the moment since it is currently off-season. She denies any sexual activity and reports that her last period was about 2 weeks ago. On physical exam, a small mobile non-tender mass is palpated in the inferolateral quadrant of her right breast. Mammography is shown in Figure A. The doctor recommends a fine needle aspiration biopsy, which is shown in Figure B demonstrating fat globules and foamy histiocytes. What is the most likely diagnosis?",Breast abscess,Breast fat necrosis,Mastalgia,Breast cancer,Breast fat necrosis,Hematology and Oncology,MedQA_USMLE,case_2036
2037,"A 28-year-old man presents to the emergency department with vomiting. He states that he has experienced severe vomiting starting last night that has not been improving. He states that his symptoms improve with hot showers. The patient has presented to the emergency department with a similar complaints several times in the past as well as for intravenous drug abuse. His temperature is 99.5°F (37.5°C), blood pressure is 127/68 mmHg, pulse is 110/min, respirations are 22/min, and oxygen saturation is 98% on room air. Physical exam is deferred as the patient is actively vomiting. Which of the following is associated with the most likely diagnosis?",Marijuana use,Alcohol use,Toxin ingestion,Substance withdrawal,Marijuana use,Gastrointestinal System,MedQA_USMLE,case_2037
2038,"A 35-year-old male presents to his primary care physician with pain along the bottom of his foot. The patient is a long-time runner but states that the pain has been getting worse recently. He states that when running and at rest he has a burning and aching pain along the bottom of his foot that sometimes turns to numbness. Taking time off from training does not improve his symptoms. The patient has a past medical history of surgical repair of his Achilles tendon, ACL, and medial meniscus. He is currently not taking any medications. The patient lives with his wife and they both practice a vegan lifestyle. On physical exam the patient states that he is currently not experiencing any pain in his foot but rather is experiencing numbness/tingling along the plantar surface of his foot. Strength is 5/5 and reflexes are 2+ in the lower extremities. Which of the following is the most likely diagnosis?",Common fibular nerve compression,Plantar fasciitis,Tarsal tunnel syndrome,Vitamin B12 deficiency,Tarsal tunnel syndrome,Neurology,MedQA_USMLE,case_2038
2039,"A 52-year-old woman presents to her primary care provider with vaginal discharge. She reports that she has noticed an increased amount of vaginal discharge for 5 days but denies pruritis, dyspareunia, or postcoital bleeding. She notes that she is generally healthy but was recently treated for a urinary tract infection with levofloxacin. Her past medical history is otherwise significant for hypertension managed with lisinopril. The patient is sexually active with men and endorses 2 new sexual partners over the last month. On pelvic exam, the patient has off-white malodorous discharge without vulvar erythema. Saline microscopy demonstrates the finding seen in Figure A. Which of the following is the most likely diagnosis?",Epithelial thinning of the vagina,Fungal infection of the vagina,Anaerobic bacterial overgrowth of the vagina,Aerobic bacterial overgrowth of the vagina,Anaerobic bacterial overgrowth of the vagina,Obstetrics and Gynecology,MedQA_USMLE,case_2039
